,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
NORTH-15-4,0,0,0,0,0,13.45,0,0,0,13.45,13.45,0,13.45,13.45,13.45,13.45,13.45,13.45,13.45,13.45,13.45,13.45,0,0,0,13.45,0,0,0,0,0,0,0,0,13.45,13.45,13.45,13.45,13.45,13.45,13.45,13.45,13.45,13.45,13.45,13.45,13.45,0
NORTH-16-1,11.25,11.25,11.25,11.25,11.25,0,11.25,0,11.25,11.25,11.25,11.25,11.25,11.25,11.25,11.25,11.25,11.25,11.25,11.25,11.25,11.25,11.25,11.25,6.75,11.25,11.25,11.25,11.25,11.25,11.25,0,0,11.25,11.25,11.25,11.25,11.25,11.25,11.25,11.25,11.25,11.25,11.25,11.25,11.25,0,11.25
NORTH-16-2,11.25,0,11.25,11.25,11.25,11.25,0,11.25,11.25,0,11.25,11.25,11.25,11.25,11.25,11.25,11.25,11.25,11.25,11.25,11.25,11.25,11.25,11.25,11.25,0,6.75,6.75,0,11.25,11.25,11.25,11.25,6.75,0,0,11.25,11.25,11.25,11.25,11.25,11.25,11.25,11.25,11.25,11.25,11.25,11.25
NORTH-16-3,0,0,0,0,0,0,11.25,0,0,0,0,0,11.25,11.25,11.25,11.25,11.25,11.25,11.25,11.25,11.25,11.25,0,0,0,0,0,0,0,0,0,11.25,11.25,0,6.75,11.25,11.25,11.25,11.25,11.25,11.25,11.25,11.25,11.25,11.25,11.25,0,0
NORTH-16-4,0,11.25,0,0,0,11.25,0,11.25,0,11.25,0,0,11.25,11.25,11.25,11.25,11.25,11.25,11.25,11.25,11.25,11.25,0,0,0,6.75,0,0,6.75,0,0,0,0,0,0,0,11.25,11.25,11.25,11.25,11.25,11.25,11.25,11.25,11.25,11.25,11.25,0
NORTH-17-1,0,65.00,65.00,65.00,65.00,0,39.00,65.00,65.00,65.00,0,65.00,65.00,65.00,65.00,0,0,0,0,65.00,65.00,65.00,65.00,65.00,0,65.00,0,65.00,0,65.00,65.00,65.00,0,65.00,65.00,0,65.00,65.00,65.00,65.00,65.00,65.00,65.00,65.00,65.00,65.00,0,65.00
NORTH-17-2,0,39.00,39.00,39.00,39.00,0,0,0,39.00,39.00,65.00,65.00,65.00,65.00,65.00,65.00,65.00,65.00,65.00,65.00,65.00,65.00,65.00,39.00,39.00,0,65.00,39.00,39.00,39.00,39.00,39.00,65.00,39.00,39.00,0,0,65.00,65.00,65.00,65.00,65.00,65.00,65.00,0,65.00,65.00,39.00
NORTH-17-3,39.00,0,0,0,0,39.00,65.00,39.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.00,0,39.00,0,0,0,0,0,39.00,0,0,65.00,0,0,0,0,0,0,0,0,65.00,0,0,0
NORTH-17-4,65.00,0,0,0,0,65.00,0,0,0,0,39.00,0,0,0,0,65.00,65.00,65.00,65.00,0,0,0,0,0,0,39.00,0,0,65.00,0,0,0,0,0,0,39.00,65.00,0,0,0,0,0,0,0,0,0,39.00,0
NORTH-1574-1,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,0,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,24.00,40.00,40.00,40.00,24.00,40.00,40.00,0,40.00,40.00,0,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00
NORTH-1574-2,40.00,40.00,40.00,40.00,40.00,40.00,1.45,1.45,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,24.00,24.00,24.00,0,40.00,40.00,40.00,40.00,24.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00
NORTH-1574-3,1.45,40.00,40.00,40.00,40.00,40.00,40.00,40.00,1.45,0,0,5.60,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,13.78,0,0,0,0,0,0,40.00,0,40.00,0,0,40.00,0,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,0,0
NORTH-1574-4,40.00,1.45,1.45,1.45,1.45,1.45,40.00,40.00,40.00,40.00,0,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,0,0,0,0,0,0,40.00,1.45,0,0,0,0,0,0,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,0,0
NORTH-1575-1,0,40.00,40.00,40.00,40.00,0,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,0,0,0,40.00,0,40.00,40.00,1.45,40.00,40.00,0,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00
NORTH-1575-2,0,40.00,40.00,40.00,40.00,40.00,0,40.00,40.00,40.00,40.00,0,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,24.00,40.00,40.00,24.00,24.00,40.00,40.00,40.00,40.00,27.70,40.00,1.45,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00
NORTH-1575-3,40.00,0,0,0,0,40.00,40.00,0,0,1.45,1.45,0,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,0,0,24.00,0,0,0,37.45,40.00,40.00,0,0,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,1.45,0
NORTH-1575-4,40.00,0,0,0,0,0,0,0,0,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,1.45,40.00,24.00,0,0,40.00,0,0,40.00,1.45,0,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,0
NORTH-1576-1,105.00,0,0,0,0,0,0,0,105.00,105.00,105.00,105.00,105.00,105.00,105.00,0,0,81.00,81.00,81.00,105.00,105.00,105.00,105.00,85.00,105.00,0,105.00,95.00,105.00,105.00,105.00,105.00,105.00,105.00,105.00,105.00,0,81.00,81.00,0,105.00,0,0,0,0,0,0
NORTH-1576-2,0,0,0,0,0,0,0,0,105.00,105.00,105.00,105.00,105.00,75.77,53.88,0,81.00,0,0,0,105.00,105.00,105.00,105.00,105.00,0,105.00,95.00,0,105.00,95.00,105.00,95.00,105.00,105.00,105.00,105.00,105.00,0,0,0,63.00,0,0,0,0,0,0
NORTH-1576-3,0,0,0,0,0,0,0,0,0,105.00,105.00,105.00,0,0,0,0,0,0,0,0,81.00,105.00,105.00,105.00,105.00,0,0,0,0,105.00,0,24.90,0,10.00,105.00,105.00,105.00,105.00,0,0,0,0,0,0,0,0,0,0
NORTH-1576-4,21.64,0,0,0,0,0,0,0,0,105.00,105.00,105.00,0,0,0,81.00,0,0,0,0,0,105.00,105.00,105.00,105.00,95.00,95.00,0,105.00,73.62,0,0,0,0,105.00,105.00,105.00,15.78,0,0,81.00,0,0,0,0,0,0,0
NORTH-1579-1,124.75,124.75,0,124.75,124.75,124.75,124.75,124.75,124.75,124.75,124.75,124.75,124.75,124.75,124.75,124.75,124.75,124.75,124.75,124.75,124.75,124.75,124.75,124.75,0,0,0,0,0,0,0,0,0,0,0,0,124.75,124.75,124.75,124.75,124.75,124.75,124.75,124.75,0,49.50,124.75,0
NORTH-1579-2,124.75,124.75,49.50,75.25,75.25,124.75,124.75,124.75,124.75,88.58,124.75,124.75,124.75,124.75,124.75,124.75,124.75,124.75,124.75,124.75,124.75,124.75,124.75,55.25,0,0,0,0,0,0,0,0,0,0,0,75.25,124.75,124.75,124.75,124.75,124.75,124.75,124.75,124.75,124.75,0,74.85,0
NORTH-1579-3,124.75,124.75,124.75,0,0,0,124.75,124.75,124.75,0,124.75,124.75,124.75,124.75,124.75,124.75,124.75,124.75,124.75,124.75,124.75,124.75,124.75,0,0,0,0,0,0,0,0,0,0,0,0,0,25.75,124.75,124.75,124.75,124.75,22.00,49.50,49.50,124.75,124.75,0,0
NORTH-1579-4,124.75,124.75,124.75,0,0,49.50,124.75,124.75,81.42,0,5.75,124.75,124.75,24.98,46.87,124.75,124.75,124.75,124.75,124.75,124.75,124.75,5.75,0,0,0,0,0,0,0,0,0,0,0,0,124.75,124.75,124.75,124.75,124.75,124.75,0,0,0,49.50,124.75,0,0
NORTH-1580-1,0,0,0,0,0,0,0,0,0,0,0,81.00,105.00,105.00,105.00,105.00,105.00,105.00,105.00,105.00,105.00,81.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105.00,105.00,105.00,105.00,105.00,105.00,105.00,105.00,105.00,105.00
NORTH-1580-2,0,0,0,0,0,0,0,0,0,0,0,0,105.00,105.00,105.00,105.00,105.00,105.00,105.00,105.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105.00,105.00,105.00,105.00,105.00,105.00,105.00,105.00,105.00,105.00,105.00
NORTH-1580-3,0,0,0,0,0,0,0,0,0,0,0,0,81.00,105.00,105.00,105.00,105.00,105.00,105.00,105.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.22,105.00,105.00,105.00,105.00,105.00,105.00,105.00,105.00,105.00,105.00
NORTH-1580-4,0,0,0,0,0,0,0,0,0,0,0,0,0,105.00,105.00,105.00,105.00,105.00,105.00,105.00,105.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105.00,105.00,105.00,105.00,105.00,105.00,105.00,105.00,105.00,105.00,105.00
NORTH-1582-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.00,40.00,40.00,40.00,40.00,40.00,40.00
NORTH-1582-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.00,40.00,40.00,40.00,40.00,40.00,40.00
