Gen_Index,timepoint,Committed,Started,Shut,TimeOn,TimeOff,Total Held as Primary Synch Reserves (MW),Total Held as Primary NonSynch Reserves (MW),Total Held as Primary Reserves (MW),Total Held as Secondary Reserves (MW)
4,3,1.0,-0.0,-0.0,203.0,0.0,109.50,0,109.50,0
4,4,1.0,-0.0,-0.0,204.0,0.0,109.50,0,109.50,0
4,5,1.0,-0.0,-0.0,205.0,0.0,109.50,0,109.50,0
4,6,1.0,-0.0,-0.0,206.0,0.0,109.50,0,109.50,0
4,7,1.0,-0.0,-0.0,207.0,0.0,109.50,0,109.50,0
4,8,1.0,-0.0,-0.0,208.0,0.0,109.50,0,109.50,0
4,9,1.0,-0.0,-0.0,209.0,0.0,109.50,0,109.50,0
4,10,1.0,-0.0,-0.0,210.0,0.0,109.50,0,109.50,0
4,11,1.0,-0.0,-0.0,211.0,0.0,109.50,0,109.50,0
4,12,1.0,-0.0,-0.0,212.0,0.0,109.50,0,109.50,0
4,13,1.0,-0.0,-0.0,213.0,0.0,0,0,0,0
4,14,1.0,-0.0,-0.0,214.0,0.0,0,0,0,0
4,15,1.0,-0.0,-0.0,215.0,0.0,0,0,0,0
4,16,1.0,-0.0,-0.0,216.0,0.0,0,0,0,0
4,17,1.0,-0.0,-0.0,217.0,0.0,0,0,0,0
4,18,1.0,-0.0,-0.0,218.0,0.0,0,0,0,0
4,19,1.0,-0.0,-0.0,219.0,0.0,0,0,0,0
4,20,1.0,-0.0,-0.0,220.0,0.0,0,0,0,0
4,21,1.0,-0.0,-0.0,221.0,0.0,0,0,0,0
4,22,1.0,-0.0,-0.0,222.0,0.0,0,0,0,0
4,23,1.0,-0.0,-0.0,223.0,0.0,109.50,0,109.50,0
4,24,1.0,-0.0,-0.0,224.0,0.0,109.50,0,109.50,0
4,25,1.0,-0.0,0.0,225.0,0.0,109.50,0,109.50,0
4,26,1.0,-0.0,-0.0,226.0,0.0,109.50,0,109.50,0
4,27,1.0,-0.0,-0.0,227.0,0.0,109.50,0,109.50,0
4,28,1.0,-0.0,-0.0,228.0,0.0,109.50,0,109.50,0
4,29,1.0,-0.0,-0.0,229.0,0.0,109.50,0,109.50,0
4,30,1.0,-0.0,-0.0,230.0,0.0,109.50,0,109.50,0
4,31,1.0,-0.0,-0.0,231.0,0.0,109.50,0,109.50,0
4,32,1.0,-0.0,-0.0,232.0,0.0,109.50,0,109.50,0
4,33,1.0,-0.0,-0.0,233.0,0.0,109.50,0,109.50,0
4,34,1.0,-0.0,-0.0,234.0,0.0,109.50,0,109.50,0
4,35,1.0,-0.0,-0.0,235.0,0.0,109.50,0,109.50,0
4,36,1.0,-0.0,-0.0,236.0,0.0,109.50,0,109.50,0
4,37,1.0,-0.0,-0.0,237.0,0.0,109.50,0,109.50,109.50
4,38,1.0,-0.0,-0.0,238.0,0.0,0,0,0,0
4,39,1.0,-0.0,-0.0,239.0,0.0,0,0,0,0
4,40,1.0,-0.0,-0.0,240.0,0.0,0,0,0,0
4,41,1.0,-0.0,-0.0,241.0,0.0,0,0,0,0
4,42,1.0,-0.0,-0.0,242.0,0.0,0,0,0,0
4,43,1.0,-0.0,-0.0,243.0,0.0,0,0,0,0
4,44,1.0,-0.0,-0.0,244.0,0.0,0,0,0,0
4,45,1.0,-0.0,-0.0,245.0,0.0,0,0,0,0
4,46,1.0,-0.0,-0.0,246.0,0.0,0,0,0,0
4,47,1.0,-0.0,-0.0,247.0,0.0,109.50,0,109.50,0
4,48,1.0,-0.0,-0.0,248.0,0.0,109.50,0,109.50,0
8,1,1.0,0.0,0.0,201.0,0.0,58.00,0,58.00,0
8,2,1.0,-0.0,-0.0,202.0,0.0,58.00,0,58.00,0
8,3,1.0,-0.0,-0.0,203.0,0.0,58.00,0,58.00,0
8,4,1.0,-0.0,-0.0,204.0,0.0,58.00,0,58.00,0
8,5,1.0,-0.0,-0.0,205.0,0.0,58.00,0,58.00,0
8,6,1.0,-0.0,-0.0,206.0,0.0,58.00,0,58.00,0
8,7,1.0,-0.0,-0.0,207.0,0.0,58.00,0,58.00,0
8,8,1.0,-0.0,-0.0,208.0,0.0,58.00,0,58.00,0
8,9,1.0,-0.0,-0.0,209.0,0.0,58.00,0,58.00,0
8,10,1.0,-0.0,-0.0,210.0,0.0,58.00,0,58.00,0
8,11,1.0,-0.0,-0.0,211.0,0.0,58.00,0,58.00,0
8,12,1.0,-0.0,-0.0,212.0,0.0,58.00,0,58.00,0
8,13,1.0,-0.0,-0.0,213.0,0.0,58.00,0,58.00,0
8,14,1.0,-0.0,-0.0,214.0,0.0,58.00,0,58.00,0
8,15,1.0,-0.0,-0.0,215.0,0.0,58.00,0,58.00,0
8,16,1.0,-0.0,-0.0,216.0,0.0,58.00,0,58.00,0
8,17,1.0,-0.0,-0.0,217.0,0.0,58.00,0,58.00,0
8,18,1.0,-0.0,-0.0,218.0,0.0,58.00,0,58.00,0
8,19,1.0,-0.0,-0.0,219.0,0.0,58.00,0,58.00,0
8,20,1.0,-0.0,-0.0,220.0,0.0,58.00,0,58.00,0
8,21,1.0,-0.0,-0.0,221.0,0.0,58.00,0,58.00,0
8,22,1.0,-0.0,-0.0,222.0,0.0,58.00,0,58.00,0
8,23,1.0,-0.0,0.0,223.0,0.0,58.00,0,58.00,0
8,24,1.0,-0.0,-0.0,224.0,0.0,58.00,0,58.00,0
8,25,1.0,-0.0,0.0,225.0,0.0,58.00,0,58.00,0
8,26,1.0,-0.0,-0.0,226.0,0.0,58.00,0,58.00,0
8,27,1.0,-0.0,-0.0,227.0,0.0,58.00,0,58.00,0
8,28,1.0,-0.0,-0.0,228.0,0.0,58.00,0,58.00,0
8,29,1.0,-0.0,-0.0,229.0,0.0,58.00,0,58.00,0
8,30,1.0,-0.0,-0.0,230.0,0.0,58.00,0,58.00,0
8,31,1.0,-0.0,-0.0,231.0,0.0,58.00,0,58.00,0
8,32,1.0,-0.0,-0.0,232.0,0.0,58.00,0,58.00,0
8,33,1.0,-0.0,-0.0,233.0,0.0,58.00,0,58.00,0
8,34,1.0,-0.0,-0.0,234.0,0.0,58.00,0,58.00,0
8,35,1.0,-0.0,-0.0,235.0,0.0,58.00,0,58.00,0
8,36,1.0,-0.0,-0.0,236.0,0.0,58.00,0,58.00,0
8,37,1.0,-0.0,-0.0,237.0,0.0,58.00,0,58.00,58.00
8,38,1.0,-0.0,-0.0,238.0,0.0,58.00,0,58.00,0
8,39,1.0,-0.0,-0.0,239.0,0.0,58.00,0,58.00,0
8,40,1.0,-0.0,-0.0,240.0,0.0,58.00,0,58.00,0
8,41,1.0,-0.0,-0.0,241.0,0.0,58.00,0,58.00,0
8,42,1.0,-0.0,-0.0,242.0,0.0,58.00,0,58.00,0
8,43,1.0,-0.0,-0.0,243.0,0.0,58.00,0,58.00,0
8,44,1.0,-0.0,-0.0,244.0,0.0,58.00,0,58.00,0
8,45,1.0,-0.0,-0.0,245.0,0.0,58.00,0,58.00,0
8,46,1.0,-0.0,-0.0,246.0,0.0,58.00,0,58.00,0
8,47,1.0,-0.0,-0.0,247.0,0.0,58.00,0,58.00,69.60
8,48,-0.0,-0.0,1.0,-0.0,1.0,0,0,0,0
9,1,1.0,0.0,0.0,201.0,0.0,39.50,0,39.50,0
9,2,1.0,-0.0,-0.0,202.0,0.0,39.50,0,39.50,0
9,3,1.0,-0.0,-0.0,203.0,0.0,39.50,0,39.50,0
9,4,1.0,-0.0,-0.0,204.0,0.0,39.50,0,39.50,0
9,5,1.0,-0.0,-0.0,205.0,0.0,39.50,0,39.50,0
9,6,1.0,-0.0,-0.0,206.0,0.0,39.50,0,39.50,0
9,7,1.0,-0.0,-0.0,207.0,0.0,39.50,0,39.50,0
9,8,1.0,-0.0,-0.0,208.0,0.0,39.50,0,39.50,0
9,9,1.0,-0.0,-0.0,209.0,0.0,39.50,0,39.50,0
9,10,1.0,-0.0,-0.0,210.0,0.0,39.50,0,39.50,0
9,11,1.0,-0.0,-0.0,211.0,0.0,39.50,0,39.50,0
9,12,1.0,-0.0,-0.0,212.0,0.0,39.50,0,39.50,0
9,13,1.0,-0.0,-0.0,213.0,0.0,0,0,0,0
9,14,1.0,-0.0,-0.0,214.0,0.0,0,0,0,0
9,15,1.0,-0.0,-0.0,215.0,0.0,0,0,0,0
9,16,1.0,-0.0,-0.0,216.0,0.0,0,0,0,0
9,17,1.0,-0.0,-0.0,217.0,0.0,0,0,0,0
9,18,1.0,-0.0,-0.0,218.0,0.0,0,0,0,0
9,19,1.0,-0.0,-0.0,219.0,0.0,0,0,0,0
9,20,1.0,-0.0,-0.0,220.0,0.0,0,0,0,0
9,21,1.0,-0.0,-0.0,221.0,0.0,0,0,0,0
9,22,1.0,-0.0,-0.0,222.0,0.0,0,0,0,0
9,23,1.0,-0.0,-0.0,223.0,0.0,39.50,0,39.50,0
9,24,1.0,-0.0,-0.0,224.0,0.0,39.50,0,39.50,0
9,25,1.0,-0.0,0.0,225.0,0.0,39.50,0,39.50,0
9,26,1.0,-0.0,-0.0,226.0,0.0,39.50,0,39.50,0
9,27,1.0,-0.0,-0.0,227.0,0.0,39.50,0,39.50,0
9,28,1.0,-0.0,-0.0,228.0,0.0,39.50,0,39.50,0
9,29,1.0,-0.0,-0.0,229.0,0.0,39.50,0,39.50,0
9,30,1.0,-0.0,-0.0,230.0,0.0,39.50,0,39.50,0
9,31,1.0,-0.0,-0.0,231.0,0.0,39.50,0,39.50,0
9,32,1.0,-0.0,-0.0,232.0,0.0,39.50,0,39.50,0
9,33,1.0,-0.0,-0.0,233.0,0.0,39.50,0,39.50,0
9,34,1.0,-0.0,-0.0,234.0,0.0,39.50,0,39.50,0
