,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
NORTH-1574-4,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,0,40.00,40.00,40.00,0,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00
NORTH-1575-1,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00
NORTH-1575-2,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00
NORTH-1575-3,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,0,40.00,40.00,40.00,20.62,40.00,40.00,40.00,40.00,40.00,23.02,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00
NORTH-1575-4,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,0,13.14,40.00,40.00,0,40.00,40.00,40.00,40.00,40.00,0,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00
NORTH-1576-1,0,0,0,0,0,0,0,0,0,105.00,105.00,105.00,105.00,105.00,105.00,0,0,0,105.00,0,105.00,105.00,0,0,0,0,0,0,0,0,0,0,0,0,0,105.00,105.00,105.00,105.00,85.00,105.00,105.00,105.00,105.00,105.00,105.00,0,105.00
NORTH-1576-2,0,0,0,0,0,0,0,0,0,105.00,105.00,105.00,105.00,0,0,105.00,105.00,105.00,105.00,105.00,105.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.39,0,105.00,105.00,105.00,0,0,105.00,0,0,105.00,0,105.00
NORTH-1576-3,0,0,0,0,0,0,0,0,0,77.18,0,0,0,0,105.00,0,53.51,105.00,0,105.00,0,105.00,63.00,0,0,0,0,0,0,0,0,0,0,0,0,105.00,105.00,0,0,105.00,105.00,0,0,0,0,0,0,0
NORTH-1576-4,0,0,0,0,0,0,0,0,0,0,0,0,0,105.00,0,105.00,0,0,0,0,0,0,105.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105.00,0,105.00,0,105.00,105.00,0,0,0
NORTH-1579-1,124.75,124.75,78.28,0,124.75,124.75,124.75,124.75,124.75,124.75,124.75,124.75,0,124.75,65.25,0,0,4.75,124.75,65.25,4.75,124.75,124.75,124.75,124.75,124.75,30.61,0,124.75,124.75,0,124.75,124.75,124.75,124.75,124.75,124.75,124.75,124.75,124.75,0,49.50,124.75,124.75,124.75,124.75,124.75,65.25
NORTH-1579-2,88.71,124.75,0,36.26,0,124.75,124.75,124.75,124.75,124.75,124.75,124.75,124.75,124.75,124.75,124.75,124.75,124.75,124.75,124.75,124.75,0,119.35,124.75,124.75,124.75,0,0,124.75,124.75,124.75,124.75,0,0,124.75,0,124.75,124.75,124.75,0,124.75,124.75,0,0,124.75,124.75,124.75,124.75
NORTH-1579-3,0,0,0,124.75,0,124.75,124.75,124.75,124.75,124.75,124.75,124.75,124.75,0,124.75,124.75,124.75,124.75,0,124.75,124.75,0,124.75,124.75,124.75,30.61,0,0,0,82.52,92.52,119.80,90.01,124.75,0,124.75,124.75,124.75,110.00,124.75,124.75,0,124.75,0,124.75,124.75,124.75,124.75
NORTH-1579-4,0,78.28,0,124.75,124.75,124.75,40.46,124.75,124.75,124.75,124.75,124.75,0,0,124.75,0,0,124.75,0,124.75,124.75,124.75,124.75,124.75,124.75,0,0,0,0,0,124.75,124.75,124.75,72.39,62.39,0,124.75,65.25,0,0,0,124.75,0,124.75,4.75,4.75,124.75,124.75
NORTH-1580-1,105.00,0,105.00,0,105.00,0,105.00,0,105.00,105.00,105.00,105.00,105.00,105.00,0,0,75.99,0,105.00,0,0,105.00,0,105.00,101.00,105.00,105.00,105.00,105.00,105.00,0,0,105.00,105.00,105.00,105.00,105.00,105.00,105.00,105.00,105.00,105.00,105.00,105.00,105.00,105.00,0,0
NORTH-1580-2,105.00,0,105.00,77.22,36.62,0,0,105.00,105.00,105.00,105.00,105.00,24.50,105.00,105.00,105.00,105.00,105.00,105.00,105.00,105.00,105.00,105.00,105.00,0,14.89,105.00,103.45,53.95,105.00,66.43,64.89,0,0,105.00,105.00,105.00,105.00,105.00,105.00,105.00,105.00,105.00,105.00,0,105.00,105.00,105.00
NORTH-1580-3,105.00,105.00,105.00,0,0,37.47,105.00,105.00,105.00,0,81.00,20.50,105.00,105.00,0,49.50,105.00,105.00,105.00,105.00,105.00,36.60,0,27.00,0,0,0,0,0,66.43,0,0,105.00,0,105.00,105.00,81.00,0,0,0,105.00,0,105.00,24.50,0,0,105.00,105.00
NORTH-1580-4,105.00,105.00,77.22,105.00,105.00,0,0,42.93,92.30,0,0,0,105.00,85.00,105.00,105.00,105.00,0,24.50,0,0,105.00,105.00,0,0,0,0,0,0,0,0,0,0,105.00,105.00,105.00,0,0,0,0,85.00,0,24.50,105.00,105.00,0,10.00,0
NORTH-1582-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.00,0,40.00,0,0,0,40.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,0
NORTH-1582-2,0,0,0,0,0,0,0,0,0,0,0,0,40.00,0,40.00,40.00,40.00,40.00,40.00,40.00,40.00,0,0,40.00,0,0,0,0,0,0,0,0,0,0,0,0,0,40.00,40.00,0,0,40.00,0,0,0,40.00,40.00,40.00
NORTH-1582-3,0,0,0,0,0,0,0,0,0,0,0,0,0,40.00,40.00,40.00,40.00,0,40.00,40.00,40.00,0,40.00,24.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.00,40.00,40.00,40.00,40.00,0,0,0,40.00,40.00
NORTH-1582-4,0,0,0,0,0,0,0,0,0,0,0,0,40.00,40.00,0,40.00,0,0,0,0,0,40.00,40.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.00,0,0,40.00,0,40.00,40.00,0,40.00,0
NORTH-1583-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NORTH-1583-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NORTH-1583-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NORTH-1583-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NORTH-1586-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
