Gen_Index,timepoint,Committed,Started,Shut,TimeOn,TimeOff,Held as Reserves (MW)
13,7,1.0,-0.0,-0.0,207.0,0.0,55.00
13,8,1.0,-0.0,-0.0,208.0,0.0,55.00
13,9,1.0,-0.0,-0.0,209.0,0.0,55.00
13,10,1.0,-0.0,-0.0,210.0,0.0,55.00
13,11,1.0,-0.0,-0.0,211.0,0.0,0
13,12,1.0,-0.0,-0.0,212.0,0.0,0
13,13,1.0,-0.0,-0.0,213.0,0.0,0
13,14,1.0,-0.0,-0.0,214.0,0.0,0
13,15,1.0,-0.0,-0.0,215.0,0.0,0
13,16,1.0,-0.0,-0.0,216.0,0.0,0
13,17,1.0,-0.0,-0.0,217.0,0.0,0
13,18,1.0,-0.0,-0.0,218.0,0.0,0
13,19,1.0,-0.0,-0.0,219.0,0.0,0
13,20,1.0,-0.0,-0.0,220.0,0.0,0
13,21,1.0,-0.0,-0.0,221.0,0.0,0
13,22,1.0,-0.0,-0.0,222.0,0.0,0
13,23,1.0,-0.0,-0.0,223.0,0.0,0
13,24,1.0,-0.0,-0.0,224.0,0.0,2.07
13,25,1.0,-0.0,-0.0,225.0,0.0,55.00
13,26,1.0,-0.0,-0.0,226.0,0.0,55.00
13,27,1.0,-0.0,-0.0,227.0,0.0,55.00
13,28,1.0,-0.0,-0.0,228.0,0.0,55.00
13,29,1.0,-0.0,-0.0,229.0,0.0,55.00
13,30,1.0,-0.0,-0.0,230.0,0.0,11.00
13,31,1.0,-0.0,-0.0,231.0,0.0,55.00
13,32,1.0,-0.0,-0.0,232.0,0.0,55.00
13,33,1.0,-0.0,-0.0,233.0,0.0,55.00
13,34,1.0,-0.0,-0.0,234.0,0.0,55.00
13,35,1.0,-0.0,-0.0,235.0,0.0,55.00
13,36,1.0,-0.0,-0.0,236.0,0.0,0
13,37,1.0,-0.0,-0.0,237.0,0.0,0
13,38,1.0,-0.0,-0.0,238.0,0.0,0
13,39,1.0,-0.0,-0.0,239.0,0.0,0
13,40,1.0,-0.0,-0.0,240.0,0.0,0
13,41,1.0,-0.0,-0.0,241.0,0.0,0
13,42,1.0,-0.0,-0.0,242.0,0.0,0
13,43,1.0,-0.0,-0.0,243.0,0.0,0
13,44,1.0,-0.0,-0.0,244.0,0.0,0
13,45,1.0,-0.0,-0.0,245.0,0.0,0
13,46,1.0,-0.0,-0.0,246.0,0.0,0
13,47,1.0,-0.0,0.0,247.0,0.0,0
13,48,1.0,-0.0,-0.0,248.0,0.0,0
14,1,1.0,0.0,0.0,201.0,0.0,40.00
14,2,1.0,-0.0,-0.0,202.0,0.0,40.00
14,3,1.0,-0.0,-0.0,203.0,0.0,40.00
14,4,1.0,-0.0,-0.0,204.0,0.0,40.00
14,5,1.0,-0.0,-0.0,205.0,0.0,40.00
14,6,1.0,-0.0,-0.0,206.0,0.0,40.00
14,7,1.0,-0.0,-0.0,207.0,0.0,40.00
14,8,1.0,-0.0,-0.0,208.0,0.0,40.00
14,9,1.0,-0.0,-0.0,209.0,0.0,40.00
14,10,1.0,-0.0,-0.0,210.0,0.0,40.00
14,11,1.0,-0.0,-0.0,211.0,0.0,40.00
14,12,1.0,-0.0,-0.0,212.0,0.0,8.00
14,13,1.0,-0.0,-0.0,213.0,0.0,0
14,14,1.0,-0.0,-0.0,214.0,0.0,0
14,15,1.0,-0.0,-0.0,215.0,0.0,0
14,16,1.0,-0.0,-0.0,216.0,0.0,0
14,17,1.0,-0.0,-0.0,217.0,0.0,0
14,18,1.0,-0.0,-0.0,218.0,0.0,0
14,19,1.0,-0.0,-0.0,219.0,0.0,0
14,20,1.0,-0.0,-0.0,220.0,0.0,0
14,21,1.0,-0.0,-0.0,221.0,0.0,0
14,22,1.0,-0.0,-0.0,222.0,0.0,0
14,23,1.0,-0.0,-0.0,223.0,0.0,8.00
14,24,1.0,-0.0,0.0,224.0,0.0,40.00
14,25,1.0,-0.0,-0.0,225.0,0.0,40.00
14,26,1.0,-0.0,-0.0,226.0,0.0,40.00
14,27,1.0,-0.0,-0.0,227.0,0.0,40.00
14,28,1.0,-0.0,-0.0,228.0,0.0,40.00
14,29,1.0,-0.0,-0.0,229.0,0.0,40.00
14,30,1.0,-0.0,-0.0,230.0,0.0,40.00
14,31,1.0,-0.0,-0.0,231.0,0.0,40.00
14,32,1.0,-0.0,-0.0,232.0,0.0,40.00
14,33,1.0,-0.0,-0.0,233.0,0.0,40.00
14,34,1.0,-0.0,-0.0,234.0,0.0,40.00
14,35,1.0,-0.0,-0.0,235.0,0.0,40.00
14,36,1.0,-0.0,-0.0,236.0,0.0,40.00
14,37,1.0,-0.0,-0.0,237.0,0.0,8.00
14,38,1.0,-0.0,-0.0,238.0,0.0,0
14,39,1.0,-0.0,-0.0,239.0,0.0,0
14,40,1.0,-0.0,0.0,240.0,0.0,0
14,41,1.0,-0.0,0.0,241.0,0.0,0
14,42,1.0,-0.0,0.0,242.0,0.0,0
14,43,1.0,-0.0,-0.0,243.0,0.0,0
14,44,1.0,-0.0,-0.0,244.0,0.0,0
14,45,1.0,-0.0,-0.0,245.0,0.0,0
14,46,1.0,-0.0,-0.0,246.0,0.0,0
